tarih,deney,aciklama,oznitelik_seti,harness,toplam,gorulen,cold,notlar
2026-08-25 17:55,D01-dogal(%8),"v2 oznitelikleri, sifir kurali yok",FEATS(v2),B,0.8411,0.7212,1.7004,"cold_hedef=0.0, iter=178"
2026-08-25 17:55,D01-dogal(%8)+sifir,v2 + sifir kurali p_zero>=0.95,FEATS(v2),B,0.8372,0.7163,1.7004,"cold_hedef=0.0, iter=178"
2026-08-25 17:56,D01-hedefli(%22),"v2 oznitelikleri, sifir kurali yok",FEATS(v2),B,1.0192,0.7021,1.724,"cold_hedef=0.22, iter=186"
2026-08-25 17:56,D01-hedefli(%22)+sifir,v2 + sifir kurali p_zero>=0.95,FEATS(v2),B,1.0163,0.6967,1.724,"cold_hedef=0.22, iter=186"
2026-08-25 18:01,D02A-v3,tek model + grup sifir-orani oznitelikleri (nb_zero/hep0/shrink),55 oznitelik,B,1.0149,0.6979,1.7188,iter=209
2026-08-25 18:02,D02B-ayri-cold,A + gorulmedi==1 satirlarda ayri profilsiz model,FEATS_V3 + FEATS_COLD,B,1.0036,0.6979,1.6882,cold_iter=325
2026-08-25 18:02,D02A+sifir,sifir kurali p_zero>=0.95,-,B,1.0117,0.6918,1.7188,
2026-08-25 18:02,D02B+sifir,sifir kurali p_zero>=0.95,-,B,1.0003,0.6918,1.6882,
2026-08-25 18:13,D03-ref-dogrudan,D02B tekrari: dogrudan + ayri cold modeli,FEATS_V3/COLD,B,1.0036,0.6979,1.6882,
2026-08-25 18:13,D03-hurdle,"(1-p)*mu+, mu+ yalniz y>0 satirlarinda egitildi",FEATS_V3/COLD,B,1.0122,0.7003,1.7078,
2026-08-25 18:13,D03-harman,w=0.4 hurdle + dogrudan,FEATS_V3/COLD,B,0.9994,0.6881,1.6912,
2026-08-25 18:16,D04-taban,dogrudan + ayri cold modeli (D02B),FEATS_V3/COLD,B,1.0036,0.6979,1.6882,
2026-08-25 18:16,D04-H-hurdle,"(1-p)*mu+, mu+ eval yalniz y>0 (duzeltilmis)",FEATS_V3/COLD,B,1.0084,0.6915,1.7104,
2026-08-25 18:16,D04-S-kucultme,"ogrenilmis p ile kucultme, alpha=1.5",FEATS_V3/COLD,B,0.9864,0.665,1.6892,
2026-08-25 18:16,D04-S+esik,kucultme alpha=1.5 + sert esik p>=0.7,FEATS_V3/COLD,B,0.9855,0.6632,1.6893,
2026-08-25 18:16,D04-S+hurdle+esik,"w=0.1 hurdle, alpha=1.5, esik=0.7",FEATS_V3/COLD,B,0.9852,0.6622,1.69,
2026-08-25 18:24,D06-B-tohum7,"recete dogrulama, en iyi alpha=5",FEATS_V3/COLD,B,0.9818,,,alpha kararliligi kontrolu
2026-08-25 18:24,D06-B-tohum13,"recete dogrulama, en iyi alpha=2.5",FEATS_V3/COLD,B,1.0281,,,alpha kararliligi kontrolu
2026-08-25 18:24,D06-B-tohum21,"recete dogrulama, en iyi alpha=5",FEATS_V3/COLD,B,1.0038,,,alpha kararliligi kontrolu
2026-08-25 18:24,D06-A,"recete dogrulama, en iyi alpha=1",FEATS_V3/COLD,A,1.1757,,,alpha kararliligi kontrolu
2026-08-25 18:33,T01-komsu-sizintisi,"Yapay cold trafo kendi nb_* grubunda kaliyor, gercek cold kalmiyor -> uyumsuzluk?",tani,B,,,,"ELENDI: ilce x guc grubu medyan 28 trafo, kendi katkisi ~1/28. nb_mean tek basina yapay cold 1.743 / gercek cold 1.786 - fark ihmal edilebilir. LOO gereksiz."
2026-08-25 18:33,T02-kapsama-deseni,"Hedef penceresindeki kapsama (kac gun, gec baslama, erken bitis) sifirligi tahmin eder mi?",tani,B,,,,"ELENDI: pencere ici kapsama AUC ~0.51 (rastgele). Train GENELINDE erken_bitis AUC 0.697 ama o yalniz GORULEN trafolar icin var, orada zaten p_zero var."
2026-08-25 18:33,T03-yeni-trafo-rampasi,Test cold trafolarinin %65i 2026-05-11de basliyor; yeni trafolar ilk gunlerde sifir/dusuk mu?,tani,B,,,,ELENDI: ilk 3 gun sifir orani 0.070 vs sonrasi 0.061; seviye kendi platosuna gore -0.12. Testin %4.1i etkileniyor -> kazanc olcum gurultusunun altinda.
2026-08-25 18:33,T04-id-knn,"tanim ID uzayinda en yakin K trafo (prefix DEGIL - ince gruplama, elenen hipotezin tersi yonu)",tani,B,,,,"ELENDI: cold trafo seviyesi RMSE k=25 1.780 vs nb_mean 1.814 (beraberlik), k=1de 2.695 (cok kotu). ID komsulugu ilce x gucten bilgi katmiyor. Prefix bulgusunu ters yonden dogruluyor. Not: hep-sifir AUC 0.618 - zayif."
